Center,Phone number,Days,Hours,Full Address,Latitude,Longitude
Vinegar Hill Food Pantry,(908) 403-5755,Tue,12 PM - 1 PM,"228 York St, Brooklyn, NY 11201",40.700687,-73.981393
Alliance Tabernacle Of Clarendon Road Church,(718) 469-9251,Fri,12 PM - 2 PM,"3304 Clarendon Rd, Brooklyn, NY 11203",40.643277,-73.945493
"Beyond Walls, Inc",(347) 406-5878,Tue,1:30 PM - 3 PM,"188 E 53rd St, Brooklyn, NY 11203",40.655302,-73.928006
Brooklyn Faith Seventh Day Adventist Church,(718) 342-6712,Thu,1 PM - 4 PM,"5518 Church Ave, Brooklyn, NY 11203",40.652374,-73.924917
Christian Fellowship Seventh Day Adventist Community Svcs-F.P,(718) 916-0956,Wed,10:30 AM - 12:30 PM,"777 Schenectady Ave, Brooklyn, NY 11203",40.654383,-73.933429
God'S Battalion Of Prayer Church,(718) 774-5447,"Tue, Thu",9 AM - 12 PM,"661 Linden Blvd, Brooklyn, NY 11203",40.653832,-73.933806
Mount Carmel Worship And Outreach Center,(917) 982-7987,Mon,12 PM - 2 PM,"784 E 46th St, Brooklyn, NY 11203",40.642164,-73.933388
Peniel Seventh Day Adventist Church,(518) 652-3246,Fri,10 AM - 12 PM,"1210 Utica Ave, Brooklyn, NY 11203",40.643054,-73.929757
St. Therese Of Lisieux R.C. Church,(718) 451-0683,Tue,10:30 AM - 12:30 PM,"4410 Ave D, Brooklyn, NY 11203",40.64169,-73.934436
The City Of Grace Inc,(718) 693-7074,Tue,11 AM - 1 PM,"3402 Tilden Ave, Brooklyn, NY 11203",40.646948,-73.945096
Muna Social Service East Flatbush,(212) 920-6202,Mon,5 PM - 6 PM,"167 E 43rd St, Brooklyn, NY 11203",40.651892,-73.937045
Shalom Senior Center,(718) 774-9213,Mon-Thu/Fri,1-2PM/12-1PM,"483 Albany Ave, Brooklyn, NY 11203",40.663361,-73.939835
Brooklyn Faith Sda Church,(718) 342-6712,Fri,12 PM - 3 PM,"5518 Church Ave, Brooklyn, NY 11203",40.652374,-73.924917
Christian Fellowship Seventh Day Adventist Community Svcs-S.K,(718) 916-0956,"Mon, Tue, Wed",5 PM - 6 PM,"777 Schenectady Ave, Brooklyn, NY 11203",40.654383,-73.933429
United Community Baptist Church,(718) 467-7708,Sat,10 AM - 12 PM,"545 Utica Ave, Brooklyn, NY 11203",40.660191,-73.931062
Reaching-Out Community Services Inc,(718) 373-4565,Mon-Fri,9 AM - 5 PM,"6417 18th Ave, Brooklyn, NY 11204",40.619287,-73.989838
St. Athanasius R.C. Church Fp,(718) 236-0124,Mon,3:15 PM - 5 PM,"2154 61st St, Brooklyn, NY 11204",40.616531,-73.979953
Payo Mobile Food Pantry,(718) 713-2000,Fri,1:30 PM - 2:30 PM,"2483 65th St, Brooklyn, NY 11204",40.610009,-73.974752
Celestial Church Of Christ Ileri Parish,(718) 624-8758,Sat,12 PM - 3 PM,"138 Waverly Ave, Brooklyn, NY 11205",40.693704,-73.968064
Compassion House Community Development Corporation,(718) 386-8151,Thu,9 AM - 11:30 AM,"43 George St, Brooklyn, NY 11206",40.701438,-73.931592
